time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2025-07-21 13:00:00+08:00,118427.43,118184.73,118334.81,950.24,112427306.76,118425.97,direct,
2025-07-21 14:00:00+08:00,119238.38,118284.44,118425.97,2650.56,315193358.26,119175.55,direct,
2025-07-21 15:00:00+08:00,119653.73,119163.81,119175.55,1801.76,215118865.83,119362.82,direct,
2025-07-21 16:00:00+08:00,119500.09,118854.84,119362.82,1794.5,213839164.32,119015.4,direct,
2025-07-21 17:00:00+08:00,119091.6,118536.98,119015.4,1077.55,128003294.8,118689.98,direct,
2025-07-21 18:00:00+08:00,118809.69,118342.4,118689.98,1467.46,173998610.52,118573.81,direct,
2025-07-21 19:00:00+08:00,118791.76,118069.42,118573.81,1571.45,186222853.86,118070.92,direct,
2025-07-21 20:00:00+08:00,118585.42,117773.97,118070.92,2244.09,265239957.29,118173.05,direct,
2025-07-21 21:00:00+08:00,119104.78,117887.38,118173.05,3363.8,398765339.93,118839.92,direct,
2025-07-21 22:00:00+08:00,119230.58,118430.34,118839.92,3099.52,368457085.17,118826.08,direct,
2025-07-21 23:00:00+08:00,119117.98,118274.53,118826.08,2498.26,296483697.32,118316.07,direct,
2025-07-22 00:00:00+08:00,118395.66,117496.15,118316.07,3900.42,459768462.02,117737.31,direct,
2025-07-22 01:00:00+08:00,118094.17,117326.33,117737.31,2713.18,319354901.61,117845.02,direct,
2025-07-22 02:00:00+08:00,118171.24,117088.26,117845.02,2618.68,308080457.01,117154.62,direct,
2025-07-22 03:00:00+08:00,117518.93,116660.08,117154.62,3470.92,406075618.94,116761.49,direct,
2025-07-22 04:00:00+08:00,117255.98,116653.25,116761.49,2485.21,290756828.0,116941.28,direct,
2025-07-22 05:00:00+08:00,117371.69,116880.9,116941.28,1435.39,168176552.23,117218.18,direct,
2025-07-22 06:00:00+08:00,117634.36,117115.81,117218.18,961.57,112907392.5,117354.32,direct,
2025-07-22 07:00:00+08:00,117509.41,117110.58,117354.32,1106.1,129768782.31,117382.34,direct,
2025-07-22 08:00:00+08:00,117518.73,117024.14,117382.34,1490.06,174738164.87,117122.83,direct,
2025-07-22 09:00:00+08:00,117942.64,116124.66,117122.83,4655.13,545293910.19,117750.71,direct,
2025-07-22 10:00:00+08:00,117807.42,116968.21,117750.71,1829.98,214938739.8,117030.6,direct,
2025-07-22 11:00:00+08:00,117265.86,116694.86,117030.6,2027.83,237261300.02,117212.85,direct,
2025-07-22 12:00:00+08:00,117360.07,116559.11,117212.85,2562.16,299699414.29,116561.44,direct,
2025-07-22 13:00:00+08:00,117351.35,116556.8,116561.44,2307.01,270075959.64,117324.53,direct,
